Order_Item_ID,Order_ID,Product_ID,Quantity,Unit_Price,Total_Price
OI149,O062,P040,3,1025.38,3076.14
OI150,O079,P032,1,1061.88,1061.88
OI151,O067,P012,4,590.0,2360.0
OI152,O086,P045,2,1378.32,2756.64
OI153,O022,P020,2,276.61,553.22
OI154,O063,P013,4,1085.38,4341.52
OI155,O052,P018,4,173.1,692.4
OI156,O093,P041,1,179.36,179.36
OI157,O022,P011,1,1806.26,1806.26
OI158,O091,P005,2,825.33,1650.66
OI159,O004,P048,4,1389.55,5558.2
OI160,O036,P029,1,173.68,173.68
OI161,O046,P019,4,1108.77,4435.08
OI162,O076,P030,3,323.63,970.89
OI163,O077,P050,1,609.56,609.56
OI164,O093,P042,1,292.66,292.66
OI165,O045,P006,3,1005.82,3017.46
OI166,O076,P007,3,1455.12,4365.36
OI167,O015,P048,1,1389.55,1389.55
OI168,O098,P033,1,1569.12,1569.12
OI169,O095,P039,4,647.82,2591.28
OI170,O053,P037,4,187.7,750.8
OI171,O098,P035,2,194.72,389.44
OI172,O019,P016,2,517.26,1034.52
OI173,O043,P030,3,323.63,970.89
OI174,O085,P048,4,1389.55,5558.2
OI175,O036,P047,3,1401.56,4204.68
OI176,O070,P003,4,1497.48,5989.92
OI177,O021,P037,2,187.7,375.4
OI178,O066,P045,3,1378.32,4134.96
OI179,O048,P034,3,239.27,717.81
OI180,O026,P026,2,283.73,567.46
OI181,O029,P045,2,1378.32,2756.64
OI182,O029,P025,3,1057.62,3172.86
OI183,O034,P050,2,609.56,1219.12
OI184,O022,P006,3,1005.82,3017.46
OI185,O057,P033,3,1569.12,4707.36
OI186,O053,P033,4,1569.12,6276.48
OI187,O085,P025,1,1057.62,1057.62
OI188,O018,P049,3,1562.64,4687.92
OI189,O083,P005,4,825.33,3301.32
OI190,O085,P038,3,1312.57,3937.71
OI191,O038,P019,2,1108.77,2217.54
OI192,O038,P003,4,1497.48,5989.92
OI193,O077,P043,2,1316.66,2633.32
OI194,O026,P036,4,1605.84,6423.36
OI195,O025,P035,2,194.72,389.44
OI196,O082,P026,2,283.73,567.46
OI197,O045,P016,1,517.26,517.26
OI198,O009,P021,2,107.69,215.38
OI199,O011,P031,1,216.39,216.39
OI200,O017,P048,3,1389.55,4168.65
